Attractiveness label,Standard Deviation,Files
2.972,0.79,./SCUT_FBP/SCUT-FBP-424.jpg
2.643,0.68,./SCUT_FBP/SCUT-FBP-425.jpg
2.845,0.89,./SCUT_FBP/SCUT-FBP-426.jpg
2.225,0.61,./SCUT_FBP/SCUT-FBP-427.jpg
2.155,0.67,./SCUT_FBP/SCUT-FBP-428.jpg
1.643,0.59,./SCUT_FBP/SCUT-FBP-429.jpg
1.986,0.63,./SCUT_FBP/SCUT-FBP-430.jpg
2.014,0.52,./SCUT_FBP/SCUT-FBP-431.jpg
1.914,0.58,./SCUT_FBP/SCUT-FBP-432.jpg
1.789,0.63,./SCUT_FBP/SCUT-FBP-433.jpg
1.986,0.71,./SCUT_FBP/SCUT-FBP-434.jpg
2.6,0.73,./SCUT_FBP/SCUT-FBP-435.jpg
2.071,0.6,./SCUT_FBP/SCUT-FBP-436.jpg
2.786,0.68,./SCUT_FBP/SCUT-FBP-437.jpg
2.371,0.66,./SCUT_FBP/SCUT-FBP-438.jpg
2.431,0.67,./SCUT_FBP/SCUT-FBP-439.jpg
1.542,0.67,./SCUT_FBP/SCUT-FBP-440.jpg
1.889,0.55,./SCUT_FBP/SCUT-FBP-441.jpg
2.171,0.66,./SCUT_FBP/SCUT-FBP-442.jpg
2.549,0.71,./SCUT_FBP/SCUT-FBP-443.jpg
1.944,0.58,./SCUT_FBP/SCUT-FBP-444.jpg
2.778,0.7,./SCUT_FBP/SCUT-FBP-445.jpg
1.958,0.52,./SCUT_FBP/SCUT-FBP-446.jpg
2.239,0.6,./SCUT_FBP/SCUT-FBP-447.jpg
1.943,0.61,./SCUT_FBP/SCUT-FBP-448.jpg
2.889,0.74,./SCUT_FBP/SCUT-FBP-449.jpg
1.929,0.6,./SCUT_FBP/SCUT-FBP-450.jpg
2.662,0.74,./SCUT_FBP/SCUT-FBP-451.jpg
2.486,0.61,./SCUT_FBP/SCUT-FBP-452.jpg
2.592,0.73,./SCUT_FBP/SCUT-FBP-453.jpg
2.614,0.8,./SCUT_FBP/SCUT-FBP-454.jpg
2.268,0.63,./SCUT_FBP/SCUT-FBP-455.jpg
2.314,0.63,./SCUT_FBP/SCUT-FBP-456.jpg
2.057,0.61,./SCUT_FBP/SCUT-FBP-457.jpg
1.886,0.65,./SCUT_FBP/SCUT-FBP-458.jpg
1.986,0.62,./SCUT_FBP/SCUT-FBP-459.jpg
3.042,0.85,./SCUT_FBP/SCUT-FBP-460.jpg
2.268,0.7,./SCUT_FBP/SCUT-FBP-461.jpg
2.429,0.73,./SCUT_FBP/SCUT-FBP-462.jpg
2.2,0.63,./SCUT_FBP/SCUT-FBP-463.jpg
2.181,0.66,./SCUT_FBP/SCUT-FBP-464.jpg
4.014,0.88,./SCUT_FBP/SCUT-FBP-465.jpg
4.243,0.81,./SCUT_FBP/SCUT-FBP-466.jpg
3.592,0.84,./SCUT_FBP/SCUT-FBP-467.jpg
3.732,0.96,./SCUT_FBP/SCUT-FBP-468.jpg
2.371,0.68,./SCUT_FBP/SCUT-FBP-469.jpg
2.586,0.77,./SCUT_FBP/SCUT-FBP-470.jpg
2.357,0.61,./SCUT_FBP/SCUT-FBP-471.jpg
2.197,0.58,./SCUT_FBP/SCUT-FBP-472.jpg
3.127,0.79,./SCUT_FBP/SCUT-FBP-473.jpg
2.529,0.72,./SCUT_FBP/SCUT-FBP-474.jpg
2.2,0.55,./SCUT_FBP/SCUT-FBP-475.jpg
2,0.56,./SCUT_FBP/SCUT-FBP-476.jpg
2.171,0.66,./SCUT_FBP/SCUT-FBP-477.jpg
2.186,0.69,./SCUT_FBP/SCUT-FBP-478.jpg
2.042,0.64,./SCUT_FBP/SCUT-FBP-479.jpg
1.958,0.52,./SCUT_FBP/SCUT-FBP-480.jpg
1.786,0.56,./SCUT_FBP/SCUT-FBP-481.jpg
2.657,0.66,./SCUT_FBP/SCUT-FBP-482.jpg
2.614,0.62,./SCUT_FBP/SCUT-FBP-483.jpg
2.914,0.68,./SCUT_FBP/SCUT-FBP-484.jpg
1.917,0.62,./SCUT_FBP/SCUT-FBP-485.jpg
2.225,0.66,./SCUT_FBP/SCUT-FBP-486.jpg
2.057,0.61,./SCUT_FBP/SCUT-FBP-487.jpg
3.271,0.7,./SCUT_FBP/SCUT-FBP-488.jpg
2.629,0.68,./SCUT_FBP/SCUT-FBP-489.jpg
2.296,0.57,./SCUT_FBP/SCUT-FBP-490.jpg
2.648,0.72,./SCUT_FBP/SCUT-FBP-491.jpg
2.563,0.71,./SCUT_FBP/SCUT-FBP-492.jpg
3.296,0.74,./SCUT_FBP/SCUT-FBP-493.jpg
2.086,0.61,./SCUT_FBP/SCUT-FBP-494.jpg
2.957,0.75,./SCUT_FBP/SCUT-FBP-495.jpg
3.186,0.87,./SCUT_FBP/SCUT-FBP-496.jpg
2.414,0.71,./SCUT_FBP/SCUT-FBP-497.jpg
2.549,0.65,./SCUT_FBP/SCUT-FBP-498.jpg
2.945,0.85,./SCUT_FBP/SCUT-FBP-499.jpg
3.324,0.69,./SCUT_FBP/SCUT-FBP-500.jpg
